,origin,obstore
0,1.525758981704712,0.37732529640197754
1,1.9822049140930176,0.7959392070770264
2,2.979564666748047,1.0449421405792236
3,3.8552968502044678,1.1716923713684082
4,4.681595325469971,1.4490866661071777
5,5.682852506637573,1.67820405960083
6,6.504055738449097,1.9039733409881592
7,7.486650705337524,2.3252298831939697
8,8.367667198181152,2.5215840339660645
9,9.197361707687378,2.710359811782837
10,10.304242610931396,3.3815829753875732
11,9.418498754501343,3.6156392097473145
12,7.651665687561035,4.044571876525879
13,8.300721883773804,5.243854284286499
14,8.739712476730347,5.507846832275391
15,9.431650400161743,5.876913547515869
16,9.958942413330078,6.210055112838745
17,10.50740385055542,6.774122953414917
18,11.075477838516235,6.9182329177856445
19,11.672493696212769,7.304704427719116
